"root","course","total","ok","caption_only","missing_section","demo_no_visual","no_visual"
"archived-courses","compiler-design","50","2","41","6","0","1"
"archived-courses","computer-networks","39","1","32","5","0","1"
"archived-courses","computer-organization","10","0","1","7","0","2"
"archived-courses","database-management","25","4","14","6","0","1"
"archived-courses","deep-learning","49","1","29","19","0","0"
"archived-courses","digital-logic","10","0","3","7","0","0"
"archived-courses","dsa-placement","61","5","38","17","0","1"
"archived-courses","machine-learning","35","9","25","1","0","0"
"archived-courses","machine-learning-llmbooks-mini","3","0","0","3","0","0"
"archived-courses","object-oriented-programming","34","4","26","4","0","0"
"archived-courses","operating-systems","33","0","23","10","0","0"
"archived-courses","quantum-computing","46","0","17","29","0","0"
"archived-courses","robotics","30","0","0","30","0","0"
"archived-courses","software-engineering","38","0","0","38","0","0"
"archived-courses","vlsi-design","28","0","0","28","0","0"
"assets/courses","algorithms","28","14","10","1","0","3"
"assets/courses","artificial-intelligence","56","2","28","26","0","0"
"assets/courses","data-structures","38","5","23","10","0","0"
